name,Manufacturer,type,feature.x,value.x,featureAbbr.x,feature.y,value.y,featureAbbr.y
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Calories per serving,110,Calories,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Grams of protein,2,Protein,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Grams of fat,2,Fat,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of sodium,180,Sodium,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Grams of sugars,10,Sugars
