name,Manufacturer,type,feature.x,value.x,featureAbbr.x,feature.y,value.y,featureAbbr.y
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,calories per serving,110,Calories,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,grams of protein,2,Protein,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,grams of fat,2,Fat,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,milligrams of sodium,180,Sodium,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,grams of dietary fiber,1.5,Fiber,milligrams of potassium,70,Potassium
